Nama,Deskripsi,Path
Batik Bali,"Batik Bali memiliki motif rumit yang terinspirasi oleh bunga, daun, dan simbol budaya Hindu Bali. Melambangkan harmoni antara manusia, alam, dan spiritualitas, batik ini terkenal dengan warna cerahnya yang khas dari Pulau Bali.",batik-bali
Batik Betawi,"Batik Betawi memiliki motif geometris sederhana dengan warna cerah, menampilkan pola khas seperti ondel-ondel dan tanjidor. Melambangkan semangat dan keberagaman budaya, batik ini berasal dari Jakarta.",batik-betawi
Batik Celup,"Batik Celup memiliki pola abstrak dengan gradasi warna cerah yang dihasilkan melalui teknik pencelupan. Melambangkan kebebasan dan kreativitas, batik ini mencerminkan ekspresi seni modern Indonesia.",batik-celup
Batik Cendrawasih,"Batik Cendrawasih menampilkan motif burung cendrawasih yang elegan dengan kombinasi pola bunga dan warna cerah. Melambangkan keindahan dan kemewahan, batik ini mencerminkan kebanggaan budaya Papua.",batik-cendrawasih
Batik Ceplok,"Batik Ceplok memiliki pola geometris berulang seperti lingkaran dan bunga kecil dengan warna klasik. Melambangkan keseimbangan dan harmoni, batik ini merupakan warisan budaya dari Jawa Tengah.",batik-ceplok
Batik Ciamis,"Batik Ciamis memiliki motif sederhana dengan pola bunga kecil atau garis melengkung, didominasi warna pastel seperti cokelat muda. Melambangkan kesederhanaan dan keharmonisan, batik ini berasal dari Ciamis, Jawa Barat.",batik-ciamis
Batik Garutan,"Batik Garutan memiliki motif bunga, daun, atau burung dengan warna cerah seperti merah dan hijau. Melambangkan keceriaan dan keindahan alam, batik ini merupakan kekayaan budaya dari Garut, Jawa Barat.",batik-garutan
Batik Gentongan,"Batik Gentongan memiliki motif bunga besar dengan warna mencolok seperti merah dan biru. Melambangkan keberanian dan keunikan budaya, batik ini khas dari Madura, Jawa Timur.",batik-gentongan
Batik Kawung,"Batik Kawung memiliki motif lingkaran geometris menyerupai irisan kolang-kaling, disusun secara simetris. Melambangkan kesucian dan keseimbangan, batik ini merupakan warisan budaya dari Jawa Tengah.",batik-kawung
Batik Keraton,"Batik Keraton memiliki motif klasik seperti Parang dan Sawat dengan warna elegan seperti cokelat dan biru tua. Melambangkan keagungan dan kewibawaan, batik ini berasal dari keraton di Yogyakarta dan Surakarta.",batik-keraton
Batik Lasem,"Batik Lasem didominasi warna merah cerah khas dengan pola flora dan fauna yang melambangkan keberanian dan harmoni. Batik ini mencerminkan akulturasi budaya Lasem, Jawa Tengah.",batik-lasem
Batik Megamendung,"Batik Megamendung memiliki motif awan bergradasi dengan warna biru, putih, atau merah. Melambangkan kesejukan dan ketenangan, batik ini merupakan warisan budaya dari Cirebon, Jawa Barat.",batik-megamendung
Batik Parang,"Batik Parang memiliki motif garis melengkung menyerupai ombak yang tersusun diagonal. Melambangkan perjuangan tanpa henti dan kekuatan, batik ini berasal dari keraton Yogyakarta dan Surakarta.",batik-parang
Batik Pekalongan,"Batik Pekalongan memiliki pola flora dan fauna dengan warna cerah dan detail halus. Melambangkan kreativitas dan keindahan alam, batik ini mencerminkan budaya pesisir Pekalongan, Jawa Tengah.",batik-pekalongan
Batik Priangan,"Batik Priangan memiliki pola bunga kecil dan dedaunan dengan warna pastel seperti hijau dan merah muda. Melambangkan kelembutan dan kesederhanaan, batik ini khas Tasikmalaya, Jawa Barat.",batik-priangan
Batik Sekar,"Batik Sekar memiliki pola bunga yang indah dan elegan dengan warna cerah seperti merah dan kuning. Melambangkan kebahagiaan dan keharmonisan hidup, batik ini banyak ditemukan di Jawa.",batik-sekar
Batik Sidoluhur,"Batik Sidoluhur memiliki motif klasik dengan pola geometris yang anggun dan warna cokelat khas. Melambangkan harapan untuk kehidupan yang mulia, batik ini berasal dari Solo, Jawa Tengah.",batik-sidoluhur
Batik Sidomukti,"Batik Sidomukti memiliki pola bunga dan geometris dengan warna dasar cokelat muda. Melambangkan kemakmuran dan kebahagiaan, batik ini berasal dari Yogyakarta dan Surakarta.",batik-sidomukti
Batik Sogan,"Batik Sogan memiliki pola klasik dengan warna cokelat sogan khas dan motif flora. Melambangkan kebijaksanaan dan keluhuran, batik ini merupakan warisan budaya dari Solo, Jawa Tengah.",batik-sogan
Batik Tambal,"Batik Tambal memiliki pola tambalan kecil-kecil dengan motif beragam dan warna cerah. Melambangkan perbaikan dan harapan, batik ini berasal dari Jawa Tengah dan Yogyakarta.",batik-tambal
